"","stock.id","species","stock","ocean.region","region","sub.region","jurisdiction","lat","lon","source.id","ts.length","ts.start","ts.end","logA","b","K","rmax","sigma","ar1","ar1.l95","ar1.u95","p_S_belowK","logA2","b2","K2","rmax2","sigma2","acf_1","acf_2","acf_3","acf_4"
"1",101,"Coho","Buskin River","GOA","Westward","Kodiak","AK",57.75812,-152.4784,"1",24,1989,2012,0.519586730164226,1.92844356530548e-05,51855.2898301482,32073.9341953097,0.42429586125542,-0.0324461227322317,-0.591733216964969,0.547926876446534,0.793103448275862,0.520819482917889,1.96707405291779e-05,50836.9269838461,31482.8351854091,0.424174158929372,-0.013346017968386,0.251548574968348,0.114846108287285,0.0878814268261943
"4",104,"Coho","Berners River","GOA","Southeast","Southeast","AK",58.8464,-134.97,"3,4",28,1979,2010,1.85300434836167,7.67151325324214e-05,13035.2378597193,30589.6171743789,0.476864928512866,0.444018034820425,0.059640467917427,0.71372585434031,0,1.85486880473558,7.80816053447082e-05,12807.1137316566,30110.3685208221,0.476897793095657,0.428818989903157,0.199466138832019,0.128998733247899,-0.0631651882495138
"7",107,"Coho","Akwe River","GOA","Southeast","Southeast","AK",59.2929349,-139.09307,"5",60,1972,1986,1.82445690692631,6.37866815217471e-05,15677.2538740562,35754.2009357026,0.482457656194403,0.0187967959207423,-0.264245771888884,0.298858291812012,0.0344827586206897,1.82390112183653,6.36780216492573e-05,15704.005465309,35795.3117035968,0.482449359507089,0.0166556809270853,-0.213972039470394,0.103366475390291,-0.244951773847252
"8",108,"Coho","East Alsek River","GOA","Southeast","Southeast","AK",59.10379,-138.5086,"5",76,1972,1990,1.76866667500083,6.07847608178289e-05,16451.4918960854,35484.0337173626,0.50991830275187,-0.28301177807015,-0.482333979147898,-0.0558266005317149,0.0344827586206897,1.75768219018853,5.95544973170711e-05,16791.3431403165,35821.4062452646,0.509998961252496,-0.280124535806209,0.0268262083668928,-0.0556969364946547,0.0140218190319535
"9",109,"Coho","Italio River","GOA","Southeast","Southeast","AK",59.3129858,-139.15364,"5",76,1972,1990,1.81740276566557,9.69750636900805e-05,10311.9292934508,23352.5030308976,0.544495414579089,0.188050809637816,-0.060345292389011,0.41451457812559,0,1.77837334635474,9.1143543730326e-05,10971.7041830059,23895.5669384037,0.543050649185961,0.159047378511018,0.182269891688455,0.260919394236668,-0.0162313904467409
"10",110,"Coho","Kaliakh River","GOA","Southeast","Southeast","AK",60.0873,-142.9378,"5",72,1973,1990,1.17389131662267,2.62235200589803e-05,38133.7058392948,45376.2969622005,0.708816785650648,0.259282725172112,0.020333989265567,0.470211448797563,0.517241379310345,1.20544030190717,2.76276899369851e-05,36195.5705410354,44450.5374280816,0.707885699733597,0.246015465751467,-0.140785650804194,-0.197901041470478,-0.199057784438472
"11",111,"Coho","Lost River","GOA","Southeast","Southeast","AK",59.45382,-139.6239,"5",76,1972,1990,1.7409901280963,6.98037931904511e-05,14325.8690437011,30055.8421106042,0.526288434303333,0.502231288005826,0.277143244597468,0.675062417650507,0,1.72190551369873,6.62438859913053e-05,15095.7327613789,31072.327093186,0.522682667175563,0.475249886219696,0.196317000519614,0.154267763397138,-0.0716754541017875
"12",112,"Coho","Situk River","GOA","Southeast","Southeast","AK",59.44609,-139.5678,"5",76,1972,1990,2.79566640594158,5.69960274486202e-05,17545.0824340602,105682.584244471,0.563721509154652,0.357761414310198,0.122061793391887,0.555263583447878,0.0344827586206897,2.7934153333321,5.70803759597797e-05,17519.1558076742,105289.135079609,0.560995999474131,0.32927555439983,0.156984705500101,0.146201772867905,-0.131925110875256
"13",113,"Coho","Tsiu River","GOA","Southeast","Southeast","AK",60.0777512,-143.09116,"5",72,1973,1990,1.44813958921346,1.12403544771991e-05,88965.1658253737,139265.820854808,0.424302840142443,0.102322828684277,-0.136156326781938,0.329592996061949,0.931034482758621,1.44720465463674,1.11800340233142e-05,89445.1660804121,139886.366149564,0.424189437896243,0.0957561135382922,-0.344361889990842,-0.157875945828087,-0.0412087417563859
